"","borough","neighborhood","building_class_category","tax_class_at_present","block","lot","building_class_at_present","address","apartment_number","zip_code","residential_units","commercial_units","total_units","land_square_feet","gross_square_feet","year_built","tax_class_at_time_of_sale","building_class_at_time_of_sale","sale_price","sale_date","bbl","buildingIdentificationNumber","cooperativeIdNumber","gi5DigitStreetCode1","giHighHouseNumber1","giLowHouseNumber1","giStreetName1","lat","lng"
"237",2,"EAST TREMONT","03  THREE FAMILY HOMES","1",3068,142,"C0","585 East 178 Street",NA,10457,3,0,3,"1343",3400,2010,"1","C0",476580,2011-09-13,2030680142,"2118468","0000","27000","585","585","EAST  178 STREET",40.8472378972486,-73.8933849933816
"238",2,"EAST TREMONT","03  THREE FAMILY HOMES","1",3068,143,"C0","583 East 178 Street",NA,10457,3,0,3,"1343",3400,2010,"1","C0",465000,2011-08-10,2030680143,"2116657","0000","27000","583","583","EAST  178 STREET",40.8472709205066,-73.893478915871
"239",2,"EAST TREMONT","05  TAX CLASS 1 VACANT LAND","2A",3093,47,"S5","1963 Prospect Avenue",NA,10457,5,1,6,"2975",5934,2011,"1","V3",145000,2011-06-01,2030930047,"2127635","0000","59520","1963","1963","PROSPECT AVENUE",40.8448348941427,-73.8890083047306
"240",2,"EAST TREMONT","06  TAX CLASS 1 - OTHER","2A",3081,4,"C3","2106 Hughes Avenue",NA,10457,4,0,4,"4035",3750,2011,"1","G0",190000,2011-05-26,2030810004,"2129000","0000","41320","2106","2106","HUGHES AVENUE",40.8491588195416,-73.8900637650752
"241",2,"EAST TREMONT","22  STORE BUILDINGS","4",2950,51,"K9","700 East Tremont Avenue",NA,10457,0,5,5,"2000",6220,1931,"4","K9",1e+06,2011-11-11,2029500051,"2009973","0000","22320","1936","1936","CROTONA AVENUE",40.8451388540077,-73.8911510913987
"242",2,"EAST TREMONT","22  STORE BUILDINGS","4",2950,59,"K1","720 East Tremont Avenue",NA,10457,0,2,2,"4986",4486,1931,"4","K1",6e+05,2011-08-26,2029500059,"2009977","0000","29620","724","720","EAST TREMONT AVENUE",40.8448198559914,-73.8905046525791
"243",2,"EAST TREMONT","22  STORE BUILDINGS","4",3068,98,"K2","631 East Tremont Avenue",NA,10457,0,3,3,"1797",3268,1931,"4","K2",750000,2011-09-21,2030680098,"2011992","0000","29620","631","631","EAST TREMONT AVENUE",40.8462158028493,-73.8922408724926
"244",2,"FORDHAM","02  TWO FAMILY HOMES","1",3144,35,"B2","2103 Tiebout Avenue",NA,10457,2,0,2,"2500",2134,1910,"1","B2",361440,2011-06-06,2031440035,"2013367","0000","68420","2103","2103","TIEBOUT AVENUE",40.8530398483044,-73.8990906170765
"245",2,"FORDHAM","02  TWO FAMILY HOMES","1",3144,43,"B3","311 East 180th Street",NA,10457,2,0,2,"1666",1320,1901,"1","B3",3e+05,2011-10-31,2031440043,"2013373","0000","27060","311","311","EAST  180 STREET",40.852537848978,-73.8994130892051
"246",2,"FORDHAM","02  TWO FAMILY HOMES","1",3144,43,"B3","311 East 180th Street",NA,10457,2,0,2,"1666",1320,1901,"1","B3",142000,2011-01-06,2031440043,"2013373","0000","27060","311","311","EAST  180 STREET",40.852537848978,-73.8994130892051
"247",2,"FORDHAM","02  TWO FAMILY HOMES","1",3158,35,"B3","2263 Ryer Avenue",NA,10457,2,0,2,"1283",1702,1901,"1","B3",350000,2011-11-29,2031580035,"2013726","0000","62720","2263","2263","RYER AVENUE",40.8566604736023,-73.8995044578989
"248",2,"FORDHAM","03  THREE FAMILY HOMES","1",3144,5,"C0","2088 Valentine Avenue",NA,10457,3,0,3,"1809",2922,1901,"1","C0",296800,2011-06-30,2031440005,"2013343","0000","70720","2088","2088","VALENTINE AVENUE",40.85270818418,-73.8996007977963
"249",2,"FORDHAM","03  THREE FAMILY HOMES","1",3144,65,"C0","2090 Valentine Avenue",NA,10457,3,0,3,"1665",2922,1901,"1","C0",440000,2011-07-12,2031440065,"2013385","0000","70720","2090","2090","VALENTINE AVENUE",40.8527603272073,-73.8995934896143
"250",2,"FORDHAM","07  RENTALS - WALKUP APARTMENTS","2B",3143,128,"C1","2089 Webster Avenue",NA,10457,8,0,8,"2687",8681,1910,"2","C1",350000,2011-08-18,2031430128,"2013315","0000","73720","2089","2089","WEBSTER AVENUE",40.8522845163825,-73.8984772620747
"251",2,"MOUNT HOPE/MOUNT EDEN","02  TWO FAMILY HOMES","1",2791,21,"B9","1655 Topping Avenue",NA,10457,2,0,2,"1900",2994,1899,"1","B9",370000,2011-05-17,2027910021,"2007338","0000","69220","1655","1655","TOPPING AVENUE",40.8431868472599,-73.9061821997264
"252",2,"MOUNT HOPE/MOUNT EDEN","02  TWO FAMILY HOMES","1",2794,58,"B1","1681 Eastburn Avenue",NA,10457,2,0,2,"2375",2318,1930,"1","B1",441500,2011-09-06,2027940058,"2007402","0000","29720","1681","1681","EASTBURN AVENUE",40.844185276865,-73.9088011379828
"253",2,"MOUNT HOPE/MOUNT EDEN","02  TWO FAMILY HOMES","1",2794,58,"B1","1681 Eastburn Avenue",NA,10457,2,0,2,"2375",2318,1930,"1","B1",160000,2011-05-02,2027940058,"2007402","0000","29720","1681","1681","EASTBURN AVENUE",40.844185276865,-73.9088011379828
"254",2,"MOUNT HOPE/MOUNT EDEN","02  TWO FAMILY HOMES","1",2802,12,"B3","208 Mount Hope Place",NA,10457,2,0,2,"1381",2215,1901,"1","B3",160000,2011-03-18,2028020012,"2007554","0000","52720","208","208","MT HOPE PLACE",40.8481461453524,-73.9057053218835
